"path","top_level","category","subsystem","size_bytes","last_write_utc","extension","action","rationale","risk","evidence","owner","notes","bucket"
"alembic/versions/__pycache__/e10d9c78240b_add_embedding_column_to_storylets.cpython-312.pyc","alembic","migrations","unclassified","1599","2026-03-05T08:28:27Z",".pyc","TBD","","","","","","source_runtime_tooling"
"alembic/versions/__pycache__/f3a1c09b8d12_add_runtime_storylet_provenance_fields.cpython-312.pyc","alembic","migrations","unclassified","2107","2026-03-05T08:28:27Z",".pyc","TBD","","","","","","source_runtime_tooling"
"alembic/versions/6e4df98f7250_add_world_events_table.py","alembic","migrations","unclassified","1313","2026-03-02T04:12:12Z",".py","TBD","","","","","","source_runtime_tooling"
"alembic/versions/9c7a6d5b4e31_add_world_graph_tables.py","alembic","migrations","unclassified","5028","2026-03-02T16:08:06Z",".py","TBD","","","","","","source_runtime_tooling"
"alembic/versions/a4d2b9c7e1f0_add_storylet_effects_column.py","alembic","migrations","unclassified","717","2026-03-05T05:23:27Z",".py","TBD","","","","","","source_runtime_tooling"
"alembic/versions/b189ebeca4b5_baseline_schema.py","alembic","migrations","unclassified","1607","2026-03-02T03:57:25Z",".py","TBD","","","","","","source_runtime_tooling"
"alembic/versions/c6b7d30d1d77_add_world_projection_table.py","alembic","migrations","unclassified","1696","2026-03-02T17:38:02Z",".py","TBD","","","","","","source_runtime_tooling"
"alembic/versions/e10d9c78240b_add_embedding_column_to_storylets.py","alembic","migrations","unclassified","752","2026-03-02T16:13:09Z",".py","TBD","","","","","","source_runtime_tooling"
"alembic/versions/f3a1c09b8d12_add_runtime_storylet_provenance_fields.py","alembic","migrations","unclassified","1184","2026-03-02T20:37:41Z",".py","TBD","","","","","","source_runtime_tooling"
"CLAUDE.md","CLAUDE.md","misc","unclassified","8037","2026-03-05T02:16:49Z",".md","TBD","","","","","","repo_meta_docs"
"client/.env.local","client","frontend","unclassified","32","2026-03-03T02:18:08Z",".local","TBD","","","","","","source_frontend"
"client/.gitignore","client","frontend","unclassified","79","2026-03-02T21:06:41Z",".gitignore","TBD","","","","","","source_frontend"
"client/dist/assets/index-C7k7kj2g.css","client","frontend","unclassified","18608","2026-03-05T21:05:58Z",".css","TBD","","","","","","generated_build_output_local"
"client/dist/assets/index-DUD9s0Y5.js","client","frontend","unclassified","211402","2026-03-05T21:05:58Z",".js","TBD","","","","","","generated_build_output_local"
