module,path,statements,covered_lines,missing_lines,coverage_percent,coverage_band,executed_in_tests,runtime_importer_count,test_importer_count,test_module_string_mentions,test_route_pattern_hits,static_evidence_tier,final_evidence_tier,weak_reachability_candidate,runtime_importer_examples,test_importer_examples,route_examples
src.services.requirements,src/services/requirements.py,60,50,10,83.33,high,yes,3,0,0,0,transitive_only,strong,no,src.services.game_logic; src.services.spatial_navigator; src.services.state_manager,,
src.services.rules.reducer,src/services/rules/reducer.py,182,156,26,85.71,high,yes,1,0,1,0,strong,strong,no,src.services.turn_service,,
src.services.rules.schema,src/services/rules/schema.py,99,86,13,86.87,high,yes,2,0,1,0,strong,strong,no,src.services.rules.reducer; src.services.turn_service,,
src.services.runtime_metrics,src/services/runtime_metrics.py,119,96,23,80.67,high,yes,7,0,0,0,transitive_only,strong,no,main; src.api.game.action; src.api.game.metrics; src.api.game.story; src.api.game.turn; src.services.command_interpreter,,
src.services.seed_data,src/services/seed_data.py,35,27,8,77.14,medium,yes,3,0,2,0,strong,strong,no,main; src.api.game.state; src.services.session_service,,
src.services.semantic_selector,src/services/semantic_selector.py,153,124,29,81.05,high,yes,5,0,23,0,strong,strong,no,src.api.game.spatial; src.services.constellation_service; src.services.prefetch_service; src.services.storylet_selector; src.services.turn_service,,
src.services.session_service,src/services/session_service.py,125,108,17,86.40,high,yes,10,0,13,0,strong,strong,no,src.api.game.__init__; src.api.game.action; src.api.game.spatial; src.api.game.state; src.api.game.story; src.api.game.turn,,
src.services.simulation.systems,src/services/simulation/systems.py,21,19,2,90.48,high,yes,1,0,1,0,strong,strong,no,src.services.simulation.tick,,
src.services.simulation.tick,src/services/simulation/tick.py,24,23,1,95.83,high,yes,1,0,1,0,strong,strong,no,src.services.turn_service,,
src.services.spatial_navigator,src/services/spatial_navigator.py,382,282,100,73.82,medium,yes,6,0,4,0,strong,strong,no,src.api.game.spatial; src.services.constellation_service; src.services.session_service; src.services.story_deepener; src.services.story_smoother; src.services.storylet_ingest,,
src.services.state_manager,src/services/state_manager.py,764,638,126,83.51,high,yes,5,0,7,0,strong,strong,no,src.services.rules.reducer; src.services.session_service; src.services.simulation.systems; src.services.simulation.tick; src.services.storylet_selector,,
src.services.story_deepener,src/services/story_deepener.py,226,62,164,27.43,low,yes,1,0,0,0,transitive_only,executed_but_weak,yes,src.services.auto_improvement,,
src.services.story_smoother,src/services/story_smoother.py,263,22,241,8.37,very_low,yes,1,0,0,0,transitive_only,executed_but_weak,yes,src.services.auto_improvement,,
src.services.storylet_analyzer,src/services/storylet_analyzer.py,114,79,35,69.30,medium,yes,2,0,2,0,strong,strong,no,src.api.author.generate; src.services.llm_service,,
src.services.storylet_ingest,src/services/storylet_ingest.py,150,137,13,91.33,high,yes,5,0,5,0,strong,strong,no,src.api.author.generate; src.api.author.populate; src.api.author.suggest; src.api.author.world; src.services.world_bootstrap_service,,
src.services.storylet_selector,src/services/storylet_selector.py,171,160,11,93.57,high,yes,5,0,20,0,strong,strong,no,src.api.game.action; src.api.game.state; src.api.game.story; src.api.game.turn; src.services.turn_service,,
src.services.storylet_utils,src/services/storylet_utils.py,78,68,10,87.18,high,yes,8,0,1,0,strong,strong,no,src.api.game.action; src.api.game.spatial; src.api.game.story; src.api.game.turn; src.services.constellation_service; src.services.prefetch_service,,
src.services.turn_service,src/services/turn_service.py,594,493,101,83.00,high,yes,3,0,2,0,strong,strong,no,src.api.game.action; src.api.game.story; src.api.game.turn,,
src.services.world_bootstrap_service,src/services/world_bootstrap_service.py,91,59,32,64.84,medium,yes,2,0,4,0,strong,strong,no,src.api.author.world; src.api.game.state,,
src.services.world_memory,src/services/world_memory.py,856,769,87,89.84,high,yes,7,0,15,0,strong,strong,no,src.api.game.spatial; src.api.game.world; src.services.constellation_service; src.services.prefetch_service; src.services.session_service; src.services.storylet_selector,,
